Year,EmploymentType,Age,Metric,Value
2006,TotalWorkers,Total,ActualWorkingHours,193.4
2006,TotalWorkers,Under29,ActualWorkingHours,186.9
2006,TotalWorkers,30to39,ActualWorkingHours,192.3
2006,TotalWorkers,40to49,ActualWorkingHours,195.5
2006,TotalWorkers,50to59,ActualWorkingHours,198.9
2006,TotalWorkers,Above60,ActualWorkingHours,219.1
2006,RegularWorker,Total,ActualWorkingHours,198.7
2006,RegularWorker,Under29,ActualWorkingHours,195.2
2006,RegularWorker,30to39,ActualWorkingHours,195.6
2006,RegularWorker,40to49,ActualWorkingHours,201.1
2006,RegularWorker,50to59,ActualWorkingHours,205.2
2006,RegularWorker,Above60,ActualWorkingHours,219.9
2006,Non-regularWorker,Total,ActualWorkingHours,173.2
2006,Non-regularWorker,Under29,ActualWorkingHours,164.0
2006,Non-regularWorker,30to39,ActualWorkingHours,173.2
2006,Non-regularWorker,40to49,ActualWorkingHours,171.4
2006,Non-regularWorker,50to59,ActualWorkingHours,178.0
2006,Non-regularWorker,Above60,ActualWorkingHours,217.8
2006,TotalWorkers,Total,ContractualWorkingHours,180.5
2006,TotalWorkers,Under29,ContractualWorkingHours,175.2
2006,TotalWorkers,30to39,ContractualWorkingHours,179.5
2006,TotalWorkers,40to49,ContractualWorkingHours,180.5
2006,TotalWorkers,50to59,ContractualWorkingHours,184.3
2006,TotalWorkers,Above60,ContractualWorkingHours,215.1
2006,RegularWorker,Total,ContractualWorkingHours,184.5
2006,RegularWorker,Under29,ContractualWorkingHours,182.7
2006,RegularWorker,30to39,ContractualWorkingHours,182.4
2006,RegularWorker,40to49,ContractualWorkingHours,184.0
2006,RegularWorker,50to59,ContractualWorkingHours,188.0
2006,RegularWorker,Above60,ContractualWorkingHours,215.0
2006,Non-regularWorker,Total,ContractualWorkingHours,165.4
2006,Non-regularWorker,Under29,ContractualWorkingHours,154.7
2006,Non-regularWorker,30to39,ContractualWorkingHours,163.0
2006,Non-regularWorker,40to49,ContractualWorkingHours,165.5
2006,Non-regularWorker,50to59,ContractualWorkingHours,172.2
2006,Non-regularWorker,Above60,ContractualWorkingHours,215.3
2006,TotalWorkers,Total,Overtime,12.9
2006,TotalWorkers,Under29,Overtime,11.7
2006,TotalWorkers,30to39,Overtime,12.8
2006,TotalWorkers,40to49,Overtime,15.0
2006,TotalWorkers,50to59,Overtime,14.6
2006,TotalWorkers,Above60,Overtime,4.0
2006,RegularWorker,Total,Overtime,14.2
2006,RegularWorker,Under29,Overtime,12.6
2006,RegularWorker,30to39,Overtime,13.2
2006,RegularWorker,40to49,Overtime,17.1
2006,RegularWorker,50to59,Overtime,17.3
2006,RegularWorker,Above60,Overtime,4.9
2006,Non-regularWorker,Total,Overtime,7.8
2006,Non-regularWorker,Under29,Overtime,9.3
2006,Non-regularWorker,30to39,Overtime,10.1
2006,Non-regularWorker,40to49,Overtime,5.8
2006,Non-regularWorker,50to59,Overtime,5.8
2006,Non-regularWorker,Above60,Overtime,2.5
2006,TotalWorkers,Total,TotalHourlyEarnings,11172.0
2006,TotalWorkers,Under29,TotalHourlyEarnings,7920.0
2006,TotalWorkers,30to39,TotalHourlyEarnings,12178.0
2006,TotalWorkers,40to49,TotalHourlyEarnings,13396.0
2006,TotalWorkers,50to59,TotalHourlyEarnings,12580.0
2006,TotalWorkers,Above60,TotalHourlyEarnings,8085.0
2006,RegularWorker,Total,TotalHourlyEarnings,12328.0
2006,RegularWorker,Under29,TotalHourlyEarnings,8654.0
2006,RegularWorker,30to39,TotalHourlyEarnings,12920.0
2006,RegularWorker,40to49,TotalHourlyEarnings,14796.0
2006,RegularWorker,50to59,TotalHourlyEarnings,14194.0
2006,RegularWorker,Above60,TotalHourlyEarnings,9723.0
2006,Non-regularWorker,Total,TotalHourlyEarnings,6816.0
2006,Non-regularWorker,Under29,TotalHourlyEarnings,5899.0
2006,Non-regularWorker,30to39,TotalHourlyEarnings,7961.0
2006,Non-regularWorker,40to49,TotalHourlyEarnings,7317.0
