Time,Occurrences,Reports,Arrests,Arrested Persons,Custodial Actions,Non-custodial Actions,Other Actions
시점,소계,소계,소계,소계,구속,불구속,기타(계도등)
1998,936,-,936,1031,91,940,0
1999,3996,-,3996,4347,213,4130,4
2000,4126,-,4126,4550,114,4428,8
2001,4570,-,4570,4943,132,4784,27
2002,4059,-,4059,4479,93,4380,6
2003,5039,-,5039,5693,108,5578,7
2004,4054,-,4054,4706,44,4659,3
2005,3484,-,3484,4001,18,3974,9
2006,3262,-,3262,3808,15,3791,2
2007,3182,-,3182,3742,10,3722,10
2008,3144,-,3144,3768,7,3719,42
2009,2362,-,2362,2776,13,2727,36
2010,1726,-,1726,1931,9,1902,20
2011,1789,-,1789,1904,9,1798,97
2012,2464,-,2464,2660,17,2555,88
2013,3869,-,3869,4250,63,4187,-
2014,4543,-,4543,4892,49,4843,-
2015,6937,-,6914,8106,77,8029,-
2016,7700,-,7745,9142,74,9068,-
2017,6700,-,6721,7952,62,7890,-
2018,6525,-,6978,7364,47,7317,-
2019,7489,-,8145,9693,85,2780,6828
2020,7058,-,7460,8771,49,2214,6508
2021,-,38826,7898,9469,63,2834,6572
